reaction,value
G3PEabcpp,h2o_c + g3pe_p + atp_c --> h_c + pi_c + g3pe_c + adp_c
MCITL2,micit_c <=> pyr_c + succ_c
NO3R2pp,2 h_c + mql8_c + no3_c --> h2o_c + 2 h_p + mqn8_c + no2_c
EX_h2o2_e,h2o2_e --> 
FFSD,suc6p_c + h2o_c --> g6p_c + fru_c
TRPAS2,h2o_c + trp__L_c <=> pyr_c + indole_c + nh4_c
3OAS100,malACP_c + ocACP_c + h_c --> 3odecACP_c + co2_c + ACP_c
CYSDS,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
23DAPPAtex,23dappa_e <=> 23dappa_p
GLYCtex,glyc_e <=> glyc_p
PLIPA1G120pp,h2o_p + pg120_p --> h_p + 2agpg120_p + ddca_p
EX_dms_e,dms_e --> 
INDOLEt2pp,indole_c + h_c --> h_p + indole_p
DMSOtex,dmso_e <=> dmso_p
EX_xmp_e,xmp_e --> 
2MAHMP,h2o_c + 2mahmp_c --> h_c + 4ampm_c + pi_c
FEENTERtonex,feenter_e + h_p --> feenter_p + h_c
MCOATA,malcoa_c + ACP_c <=> malACP_c + coa_c
MANGLYCtex,manglyc_e <=> manglyc_p
SO2tex,so2_e <=> so2_p
OPMEACPD,hpmeACP_c --> h2o_c + epmeACP_c
12PPDStex,12ppd__S_e <=> 12ppd__S_p
AMAOTr,8aonn_c + amet_c <=> dann_c + amob_c
OPMEACPS,malACP_c + h_c + gmeACP_c --> opmeACP_c + co2_c + ACP_c
OPMEACPR,nadph_c + h_c + opmeACP_c --> hpmeACP_c + nadp_c
GALURtex,galur_e <=> galur_p
PPCSCT,succ_c + ppcoa_c --> ppa_c + succoa_c
LIPATPT,lipoate_c + atp_c --> lipoamp_c + ppi_c
ALAt2rpp,h_p + ala__L_p <=> ala__L_c + h_c
23CAMPtex,23camp_e <=> 23camp_p
POX,h2o_c + q8_c + pyr_c --> co2_c + ac_c + q8h2_c
MALTTRabcpp,h2o_c + atp_c + malttr_p --> h_c + malttr_c + adp_c + pi_c
EX_ascb__L_e,ascb__L_e --> 
PA141abcpp,pa141_c + atp_c + h2o_c --> h_c + pi_c + pa141_p + adp_c
EX_pacald_e,pacald_e --> 
HPPK2,atp_c + 6hmhpt_c --> h_c + 6hmhptpp_c + amp_c
ACACT1r,2 accoa_c <=> coa_c + aacoa_c
DTMPK,dtmp_c + atp_c <=> adp_c + dtdp_c
PFK_3,atp_c + s7p_c --> s17bp_c + adp_c + h_c
PFK_2,atp_c + tag6p__D_c --> tagdp__D_c + h_c + adp_c
GALCTNLtex,galctn__L_e <=> galctn__L_p
FE3HOXUtpp,h_p + fe3hox__un_p --> h_c + fe3hox__un_e
GSNt2pp,h_p + gsn_p --> h_c + gsn_c
FACOAL140t2pp,h_p + coa_c + ttdca_p + atp_c --> h_c + tdcoa_c + amp_c + ppi_c
EX_tsul_e,tsul_e --> 
PSD140,ps140_c + h_c --> pe140_c + co2_c
PSD141,ps141_c + h_c --> co2_c + pe141_c
GLYK,glyc_c + atp_c --> glyc3p_c + adp_c + h_c
MECDPDH5,2mecdp_c + h_c + 2 flxr_c --> h2mb4p_c + h2o_c + 2 flxso_c
EX_anhgm_e,anhgm_e --> 
2AGPE181tipp,2agpe181_p --> 2agpe181_c
GUAtex,gua_e <=> gua_p
MLDCP3App,murein5px3p_p + h2o_p --> murein3px3p_p + alaala_p
HDCEAtexi,hdcea_e --> hdcea_p
RNTR1c2,2 flxr_c + 2 h_c + atp_c --> datp_c + 2 flxso_c + h2o_c
DATPHs,h2o_c + h_c + datp_c --> ditp_c + nh4_c
PGSA160,cdpdhdecg_c + glyc3p_c --> h_c + pgp160_c + cmp_c
UHGADA,h2o_c + u3aga_c --> ac_c + u3hga_c
UPPDC1,4 h_c + uppg3_c --> cpppg3_c + 4 co2_c
MANptspp,man_p + pep_c --> pyr_c + man6p_c
3HAD160,3hpalmACP_c --> tpalm2eACP_c + h2o_c
3HAD161,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c
DHQTi,3dhq_c --> 3dhsk_c + h2o_c
PERD,4per_c + nad_c <=> nadh_c + ohpb_c + h_c
THRD,nad_c + thr__L_c --> 2aobut_c + nadh_c + h_c
EX_acolipa_e,acolipa_e --> 
RBFSb,2 dmlz_c --> 4r5au_c + ribflv_c
GSNtex,gsn_e <=> gsn_p
RBFSa,db4p_c + 4r5au_c --> 2 h2o_c + pi_c + dmlz_c
GLDBRAN2,bglycogen_c --> glycogen_c
LEUt2rpp,h_p + leu__L_p <=> h_c + leu__L_c
THRS,h2o_c + phom_c --> thr__L_c + pi_c
DDGLCNt2rpp,h_p + 2ddglcn_p <=> 2ddglcn_c + h_c
BALAt2pp,ala__B_p + h_p --> ala__B_c + h_c
QULNS,iasp_c + dhap_c --> 2 h2o_c + pi_c + quln_c
EPMEACPR,nadph_c + epmeACP_c + h_c --> pmeACP_c + nadp_c
ASNS2,asp__L_c + atp_c + nh4_c --> asn__L_c + amp_c + ppi_c + h_c
