reaction,value
EX_galt_e,galt_e --> 
FALDtex,fald_e <=> fald_p
G3PGabcpp,h2o_c + g3pg_p + atp_c --> h_c + pi_c + g3pg_c + adp_c
PFK,f6p_c + atp_c --> adp_c + fdp_c + h_c
PFL,pyr_c + coa_c --> accoa_c + for_c
GRXR,grxox_c + 2 gthrd_c --> grxrd_c + gthox_c
PEAMNtex,peamn_e <=> peamn_p
FUCtpp,h_p + fuc__L_p <=> fuc__L_c + h_c
GLUt2rpp,glu__L_p + h_p <=> glu__L_c + h_c
EX_ppa_e,ppa_e --> 
ALLULPE,allul6p_c <=> f6p_c
SO2tpp,so2_p <=> so2_c
EX_metsox__R__L_e,metsox__R__L_e --> 
AADDGT,unagamu_c + dtdp4aaddg_c --> unagamuf_c + h_c + dtdp_c
GUAPRT,prpp_c + gua_c --> ppi_c + gmp_c
O16A4Lpp,o16a4und_p + colipa_p --> udcpdp_p + h_p + o16a4colipa_p
TYRTRS,tyr__L_c + trnatyr_c + atp_c --> amp_c + tyrtrna_c + ppi_c
ARBTNtpp,h_p + arbtn_c --> arbtn_p + h_c
FORCT,oxa_c + forcoa_c <=> for_c + oxalcoa_c
ATPM,atp_c + h2o_c --> pi_c + h_c + adp_c
3NTD4pp,3cmp_p + h2o_p --> pi_p + cytd_p
UDPGALtex,udpgal_e <=> udpgal_p
APH140,ttdcap_c + h2o_c --> ttdca_c + pi_c + 2 h_c
APH141,h2o_c + ttdceap_c --> ttdcea_c + pi_c + 2 h_c
FACOAE141,h2o_c + tdecoa_c --> ttdcea_c + h_c + coa_c
FACOAE140,h2o_c + tdcoa_c --> ttdca_c + h_c + coa_c
EX_pheme_e,pheme_e --> 
FACOAL100t2pp,dca_p + h_p + atp_c + coa_c --> amp_c + dcacoa_c + ppi_c + h_c
GLCRAL,5dh4dglc_c --> 2h3oppan_c + pyr_c
NNDMBRT,dmbzid_c + nicrnt_c --> nac_c + 5prdmbz_c + h_c
DINSt2pp,din_p + h_p --> h_c + din_c
PYNP2r,pi_c + uri_c <=> ura_c + r1p_c
PLIPA2G141pp,pg141_p + h2o_p --> 1agpg141_p + h_p + ttdcea_p
EX_fum_e,fum_e --> 
CDGR,2 nadph_c + preq0_c + 3 h_c --> 2 nadp_c + preq1_c
CDGS,h_c + cph4_c --> cdg_c + nh4_c
DHNAOT4,octdp_c + h_c + dhna_c --> co2_c + 2dmmql8_c + ppi_c
ACODA,acorn_c + h2o_c --> orn_c + ac_c
LALDO2x,h_c + mthgxl_c + nadh_c --> nad_c + lald__D_c
2AGPGAT120,ddca_c + 2agpg120_c + atp_c --> amp_c + pg120_c + ppi_c
DKGLCNR2x,h_c + nadh_c + 25dkglcn_c --> nad_c + 5dglcn_c
DKGLCNR2y,nadph_c + h_c + 25dkglcn_c --> 5dglcn_c + nadp_c
GLCS1,adpglc_c --> glycogen_c + h_c + adp_c
PPAtex,ppa_e <=> ppa_p
GPDDA5pp,h2o_p + g3pi_p --> glyc3p_p + inost_p + h_p
PROtex,pro__L_e <=> pro__L_p
MNLptspp,pep_c + mnl_p --> pyr_c + mnl1p_c
NAt3_2pp,2 h_p + na1_c --> na1_p + 2 h_c
GTPDPK,atp_c + gtp_c --> h_c + amp_c + gdptp_c
UGLT,udpg_c + gal1p_c <=> udpgal_c + g1p_c
3OAR121,3ocddec5eACP_c + nadph_c + h_c --> 3hcddec5eACP_c + nadp_c
3OAR120,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c
5DGLCNR,5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c
LSERDHr,ser__L_c + nadp_c <=> nadph_c + h_c + 2amsa_c
DHNCOAT,14dhncoa_c + h2o_c --> h_c + coa_c + dhna_c
MICITDr,2mcacn_c + h2o_c <=> micit_c
PEAMNOpp,o2_p + peamn_p + h2o_p --> h2o2_p + pacald_p + nh4_p
DHNCOAS,sbzcoa_c + h_c --> 14dhncoa_c + h2o_c
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
MG2uabcpp,h2o_c + atp_c + mg2_p --> h_c + adp_c + mg2_c + pi_c
G6Pt6_2pp,g6p_p + 2 pi_c --> g6p_c + 2 pi_p
XANtex,xan_e <=> xan_p
EAR160x,tpalm2eACP_c + nadh_c + h_c --> palmACP_c + nad_c
EAR160y,tpalm2eACP_c + h_c + nadph_c --> palmACP_c + nadp_c
METOX1s,h2o2_c + met__L_c --> metsox__S__L_c + h2o_c
PPK2r,atp_c + ppi_c <=> pppi_c + adp_c
PETNT181pp,pe181_p + lipa_p --> 12dgr181_p + enlipa_p
MANGLYCptspp,pep_c + manglyc_p --> pyr_c + man6pglyc_c
DMSOtpp,dmso_p <=> dmso_c
PAPA141pp,pa141_p + h2o_p --> 12dgr141_p + pi_p
ABTA,4abut_c + akg_c --> sucsal_c + glu__L_c
CADVtpp,h_p + 15dap_c + lys__L_p --> lys__L_c + h_c + 15dap_p
MLTGY2pp,murein4p3p_p --> anhgm3p_p + anhgm4p_p
DHPPD,cechddd_c + nad_c --> nadh_c + h_c + dhpppn_c
FUMt2_2pp,2 h_p + fum_p --> fum_c + 2 h_c
EX_malt_e,malt_e --> 
MLDEP1pp,murein3px3p_p + h2o_p --> murein3p3p_p
HMBS,4 ppbng_c + h2o_c --> 4 nh4_c + hmbil_c
GTPCI,h2o_c + gtp_c --> ahdt_c + h_c + for_c
SUCCt2_3pp,succ_p + 3 h_p --> succ_c + 3 h_c
THYMt3pp,thym_c + h_p --> thym_p + h_c
EX_fe3dcit_e,fe3dcit_e --> 
PPTtex,ppt_e <=> ppt_p
PPPGO3,pppg9_c + 3 fum_c --> 3 succ_c + ppp9_c
PAPA161pp,h2o_p + pa161_p --> 12dgr161_p + pi_p
PG161abcpp,h2o_c + atp_c + pg161_c --> pg161_p + h_c + pi_c + adp_c
ASPtex,asp__L_e <=> asp__L_p
FCI,fuc__L_c <=> fcl__L_c
HXAtex,hxa_e <=> hxa_p
TMAOR1pp,h_p + mql8_c + tmao_p --> mqn8_c + tma_p + h2o_p
DM_OXAM,oxam_c --> 
SADT2,h2o_c + so4_c + atp_c + gtp_c --> aps_c + gdp_c + ppi_c + pi_c
HACD3,h_c + nadh_c + 3oocoa_c <=> nad_c + 3hocoa_c
MALtex,mal__L_e <=> mal__L_p
TYRPtex,tyrp_e <=> tyrp_p
UDCPDP,udcpdp_c + h2o_c --> udcpp_c + pi_c + h_c
NTP10,itp_c + h2o_c --> idp_c + h_c + pi_c
DAPabcpp,h2o_c + atp_c + 26dap__M_p --> h_c + pi_c + 26dap__M_c + adp_c
NTP12,xtp_c + h2o_c --> xdp_c + pi_c + h_c
BTNt2ipp,btn_p + h_p --> btn_c + h_c
DHAD1,23dhmb_c --> 3mob_c + h2o_c
DHAD2,23dhmp_c --> 3mop_c + h2o_c
ADPT,prpp_c + ade_c --> amp_c + ppi_c
SKMtex,skm_e <=> skm_p
HYXNtex,hxan_e <=> hxan_p
GLTPD,nad_c + galt1p_c <=> h_c + nadh_c + tag6p__D_c
SOTA,sucorn_c + akg_c --> glu__L_c + sucgsa_c
GLYt2pp,gly_p + h_p --> gly_c + h_c
TREtex,tre_e <=> tre_p
CO2tex,co2_e <=> co2_p
HACD8,h_c + 3oodcoa_c + nadh_c <=> nad_c + 3hodcoa_c
3OAS180,malACP_c + h_c + palmACP_c --> co2_c + ACP_c + 3ooctdACP_c
3OAS181,malACP_c + hdeACP_c + h_c --> 3ocvac11eACP_c + co2_c + ACP_c
THFAT,methf_c + h2o_c --> h_c + 5fthf_c
PROGLYtex,progly_e <=> progly_p
EX_cbi_e,cbi_e --> 
ARGDC,h_c + arg__L_c --> agm_c + co2_c
CAT,2 h2o2_c --> o2_c + 2 h2o_c
FA160ACPHi,palmACP_c + h2o_c --> ACP_c + h_c + hdca_c
GLCTR1,udpg_c + icolipa_c --> h_c + udp_c + gicolipa_c
GLCTR2,udpg_c + gagicolipa_c --> udp_c + h_c + ggagicolipa_c
GLCTR3,ggagicolipa_c + udpg_c --> udp_c + h_c + gggagicolipa_c
HEX1,atp_c + glc__D_c --> adp_c + h_c + g6p_c
MALTabcpp,h2o_c + malt_p + atp_c --> h_c + malt_c + pi_c + adp_c
DAGK141,12dgr141_c + atp_c --> adp_c + h_c + pa141_c
DAGK140,atp_c + 12dgr140_c --> adp_c + h_c + pa140_c
HEX4,atp_c + man_c --> adp_c + h_c + man6p_c
HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c
G1PACT,accoa_c + gam1p_c --> h_c + acgam1p_c + coa_c
PPNDH,h_c + pphn_c --> phpyr_c + h2o_c + co2_c
PGL,h2o_c + 6pgl_c --> 6pgc_c + h_c
PGM,2pg_c <=> 3pg_c
PGK,3pg_c + atp_c <=> adp_c + 13dpg_c
PGI,g6p_c <=> f6p_c
HEPT4,gggagicolipa_c + adphep__LD_c --> colipa_c + h_c + adp_c
2AGPA141tipp,2tdec7eg3p_p --> 2tdec7eg3p_c
HEPT3,phhlipa_c + adphep__LD_c --> h_c + adp_c + hphhlipa_c
HEPT1,lipa_c + adphep__LD_c --> hlipa_c + h_c + adp_c
VALt2rpp,val__L_p + h_p <=> val__L_c + h_c
ETOHtrpp,etoh_p <=> etoh_c
ASPTRS,asp__L_c + trnaasp_c + atp_c --> asptrna_c + amp_c + ppi_c
CAt6pp,ca2_c + na1_p <=> ca2_p + na1_c
EX_acac_e,acac_e --> 
S2FE2SR,h2o_c + sufbcd_c + 2fe1s_c + atp_c + sufsesh_c --> sufbcd__2fe2s_c + 5 h_c + sufse_c + pi_c + adp_c
S2FE2SS,h2o_c + atp_c + sufbcd_c + fadh2_c + 2 sufsesh_c + 2 fe2_c --> sufbcd__2fe2s_c + 2 sufse_c + 7 h_c + fad_c + pi_c + adp_c
S2FE2ST,4 h_c + sufbcd__2fe2s_c --> sufbcd_c + 2fe2s_c
FDMO3,fmnh2_c + ethso3_c + o2_c --> fmn_c + h2o_c + h_c + so3_c + acald_c
FDMO2,mso3_c + fmnh2_c + o2_c --> h2o_c + so3_c + h_c + fmn_c + fald_c
FADRx,fad_c + nadh_c + h_c --> fadh2_c + nad_c
ACPPAT120,pi_c + h_c + ddcaACP_c --> ddcap_c + ACP_c
FDMO6,o2_c + fmnh2_c + sulfac_c --> h2o_c + so3_c + h_c + fmn_c + glx_c
FDMO4,fmnh2_c + o2_c + butso3_c --> h2o_c + btal_c + so3_c + h_c + fmn_c
FEENTERtex,h_p + enter_p --> h_c + enter_e
AAMYLpp,14glucan_p --> malthx_p
OHPBAT,glu__L_c + ohpb_c <=> phthr_c + akg_c
EX_dgmp_e,dgmp_e --> 
UDCPDPpp,h2o_p + udcpdp_p --> udcpp_p + h_p + pi_p
EX_udpg_e,udpg_e --> 
I2FE2SS2,iscu__2fe2s_c + 2 iscssh_c + fadh2_c + 2 fe2_c --> iscu__2fe2s2_c + fad_c + 6 h_c + 2 iscs_c
CBL1abcpp,h2o_c + atp_c + cbl1_p --> h_c + cbl1_c + pi_c + adp_c
PAPA180,pa180_c + h2o_c --> pi_c + 12dgr180_c
PAPA181,pa181_c + h2o_c --> pi_c + 12dgr181_c
ILEtex,ile__L_e <=> ile__L_p
CYSSADS,3sala_c + 2 h_c --> so2_c + ala__L_c
EX_pser__L_e,pser__L_e --> 
GLCUR1Ptex,glcur1p_e <=> glcur1p_p
ALDD3y,h2o_c + nadp_c + ppal_c --> ppa_c + 2 h_c + nadph_c
THRt4pp,na1_p + thr__L_p --> thr__L_c + na1_c
BMOGDS1,bmoco_c + gtp_c + h_c --> ppi_c + bmoco1gdp_c
PAPSR,paps_c + trdrd_c --> trdox_c + so3_c + 2 h_c + pap_c
5DOAN,dad__5_c + h2o_c --> ade_c + 5drib_c
BMOGDS2,bmoco1gdp_c + gtp_c + h_c --> bmocogdp_c + ppi_c
PLIPA1A161pp,h2o_p + pa161_p --> hdcea_p + 2hdec9eg3p_p
PRAIS,fpram_c + atp_c --> 2 h_c + air_c + adp_c + pi_c
ALR4x,acetol_c + h_c + nadh_c --> nad_c + 12ppd__R_c
MPTAT,atp_c + mpt_c + h_c --> ppi_c + mptamp_c
FA141ACPHi,tdeACP_c + h2o_c --> ttdcea_c + ACP_c + h_c
SELGTHR3,nadph_c + gslnt_c --> seln_c + gthrd_c + nadp_c
SELGTHR2,h_c + nadph_c + dgslnt_c --> gslnt_c + nadp_c + gthrd_c
UREAtex,urea_e <=> urea_p
FACOAL141t2pp,ttdcea_p + h_p + coa_c + atp_c --> amp_c + tdecoa_c + ppi_c + h_c
NTD7pp,amp_p + h2o_p --> pi_p + adn_p
THDPS,succoa_c + h2o_c + thdp_c --> coa_c + sl2a6o_c
PHETA1,phe__L_c + akg_c <=> glu__L_c + phpyr_c
DAPtex,15dap_e <=> 15dap_p
EX_taur_e,taur_e --> 
LYSt3pp,h_p + lys__L_c --> h_c + lys__L_p
GLNtex,gln__L_e <=> gln__L_p
TTRCYCtpp,ttrcyc_p + h_p --> ttrcyc_e + h_c
CSNtex,csn_e <=> csn_p
EX_5mtr_e,5mtr_e --> 
NTRIR3pp,2 h_p + 3 q8h2_c + no2_p --> 2 h2o_p + nh4_p + 3 q8_c
HXCT,hxa_c + accoa_c --> ac_c + hxcoa_c
NTPTP1,h2o_c + dgtp_c --> pppi_c + dgsn_c
3OAS60,malACP_c + h_c + butACP_c --> co2_c + 3ohexACP_c + ACP_c
AGDC,acgam6p_c + h2o_c --> ac_c + gam6p_c
GLCptspp,glc__D_p + pep_c --> g6p_c + pyr_c
PLIPA2E160pp,h2o_p + pe160_p --> hdca_p + h_p + 1agpe160_p
PGPP141pp,pgp141_p + h2o_p --> pi_p + pg141_p
PSSA160,cdpdhdecg_c + ser__L_c --> ps160_c + h_c + cmp_c
MTHFR2,nadh_c + 2 h_c + mlthf_c --> nad_c + 5mthf_c
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c
LCARS,lald__L_c + nadh_c + h_c <=> nad_c + 12ppd__S_c
LCARR,lald__D_c + h_c + nadh_c <=> 12ppd__R_c + nad_c
PSP_L,h2o_c + pser__L_c --> ser__L_c + pi_c
XYLtex,xyl__D_e <=> xyl__D_p
GUAtpp,gua_p <=> gua_c
SPMDAT1,accoa_c + spmd_c --> h_c + N1aspmd_c + coa_c
SPMDAT2,accoa_c + spmd_c --> h_c + coa_c + n8aspmd_c
LPLIPAL2A160,h2o_c + 2hdecg3p_c --> hdca_c + 2 h_c + glyc3p_c
LPLIPAL2A161,h2o_c + 2hdec9eg3p_c --> glyc3p_c + 2 h_c + hdcea_c
PYDAMtex,pydam_e <=> pydam_p
PYAM5PO,h2o_c + pyam5p_c + o2_c --> h2o2_c + nh4_c + pydx5p_c
OPHHX3,2oph_c + nad_c + 2 atp_c + 3 h2o_c --> 3 h_c + nadh_c + 2ohph_c + 2 pi_c + 2 adp_c
ILEt2rpp,h_p + ile__L_p <=> ile__L_c + h_c
IGPS,h_c + 2cpr5p_c --> 3ig3p_c + h2o_c + co2_c
O2tex,o2_e <=> o2_p
DHBD,23ddhb_c + nad_c <=> nadh_c + h_c + 23dhb_c
CBL1tonex,h_p + cbl1_e --> cbl1_p + h_c
KARA1,23dhmb_c + nadp_c <=> nadph_c + h_c + alac__S_c
KARA2,nadph_c + 2ahbut_c + h_c <=> nadp_c + 23dhmp_c
ILETA,ile__L_c + akg_c <=> 3mop_c + glu__L_c
DHBS,h_c + 23dhb_c + atp_c --> 23dhba_c + ppi_c
ALPATG160pp,alpp_p + pg160_p --> lpp_p + 2agpg160_p
CDAPPA141,cdpdtdec7eg_c + h2o_c --> cmp_c + 2 h_c + pa141_c
CDAPPA140,h2o_c + cdpdtdecg_c --> pa140_c + cmp_c + 2 h_c
ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c
TMK,atp_c + thm_c --> adp_c + h_c + thmmp_c
DASYN140,h_c + pa140_c + ctp_c --> cdpdtdecg_c + ppi_c
DASYN141,pa141_c + h_c + ctp_c --> ppi_c + cdpdtdec7eg_c
HACD1,h_c + aacoa_c + nadh_c <=> 3hbcoa_c + nad_c
AOXSr2,ala__L_c + pimACP_c --> ACP_c + 8aonn_c + co2_c
DAMPtex,damp_e <=> damp_p
HACD2,h_c + 3ohcoa_c + nadh_c <=> 3hhcoa_c + nad_c
HACD5,3oddcoa_c + nadh_c + h_c <=> 3hddcoa_c + nad_c
HACD4,nadh_c + 3odcoa_c + h_c <=> 3hdcoa_c + nad_c
HACD7,3ohdcoa_c + nadh_c + h_c <=> 3hhdcoa_c + nad_c
HACD6,h_c + nadh_c + 3otdcoa_c <=> nad_c + 3htdcoa_c
EX_acgam_e,acgam_e --> 
AMALT4,malt_c + malthx_c --> malthp_c + glc__D_c
AMALT3,maltpt_c + malt_c --> glc__D_c + malthx_c
AMALT2,maltttr_c + malt_c --> maltpt_c + glc__D_c
AMALT1,malttr_c + malt_c --> maltttr_c + glc__D_c
GLCRt2rpp,glcr_p + h_p <=> h_c + glcr_c
EX_zn2_e,zn2_e <=> 
DM_4CRSOL,4crsol_c --> 
EX_quin_e,quin_e --> 
G3PAT141,glyc3p_c + tdeACP_c --> ACP_c + 1tdec7eg3p_c
2AGPA181tipp,2odec11eg3p_p --> 2odec11eg3p_c
SPMDt3pp,h_p + spmd_c --> spmd_p + h_c
DOGULNR,h_c + 23doguln_c + nadh_c --> 3dhguln_c + nad_c
ADSS,asp__L_c + gtp_c + imp_c --> 2 h_c + pi_c + dcamp_c + gdp_c
MALTtexi,malt_e --> malt_p
SHSL1,cys__L_c + suchms_c --> succ_c + cyst__L_c + h_c
G2PPpp,glyc2p_p + h2o_p --> glyc_p + pi_p
PSCLYSt2pp,h_p + psclys_p --> psclys_c + h_c
2AGPG140tipp,2agpg140_p --> 2agpg140_c
EX_inost_e,inost_e --> 
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c
ACSERtpp,acser_c --> acser_p
G3PGtex,g3pg_e <=> g3pg_p
CLPNH161pp,h2o_p + clpn161_p --> pa161_p + pg161_p + h_p
LPLIPAL2ATE161,2agpe161_c + pg161_c --> g3pe_c + apg161_c
LPLIPAL2ATE160,pg160_c + 2agpe160_c --> g3pe_c + apg160_c
GSPMDA,gtspmd_c + h2o_c --> spmd_c + gthrd_c
HEPK2,hphhlipa_c + atp_c --> adp_c + h_c + phphhlipa_c
HEPK1,hhlipa_c + atp_c --> phhlipa_c + h_c + adp_c
ALATA_L,ala__L_c + akg_c <=> glu__L_c + pyr_c
LPLIPAL1G141pp,1agpg141_p + h2o_p --> h_p + ttdcea_p + g3pg_p
EX_novbcn_e,novbcn_e --> 
SERTRS,ser__L_c + trnaser_c + atp_c --> amp_c + sertrna_c + ppi_c
GSPMDS,spmd_c + atp_c + gthrd_c --> gtspmd_c + h_c + adp_c + pi_c
LPLIPAL2A180,h2o_c + 2odecg3p_c --> ocdca_c + glyc3p_c + 2 h_c
LPLIPAL2A181,h2o_c + 2odec11eg3p_c --> ocdcea_c + glyc3p_c + 2 h_c
AIRC2,hco3_c + atp_c + air_c --> h_c + adp_c + 5caiz_c + pi_c
AIRC3,5aizc_c <=> 5caiz_c
MPTS,cu2_c + 2 moadcosh_c + cpmp_c --> mpt_c + 5 h_c + 2 moadcoo_c
DB4PS,ru5p__D_c --> db4p_c + for_c + h_c
COLIPAabctex,h2o_c + atp_c + colipa_p --> h_c + adp_c + colipa_e + pi_c
NTD6pp,damp_p + h2o_p --> pi_p + dad__2_p
PACCOAE,phaccoa_c + h_c + nadph_c + o2_c --> rephaccoa_c + h2o_c + nadp_c
SLNTtex,slnt_e <=> slnt_p
MPTG,2 uaagmda_c --> 2 udcpdp_c + murein5p5p_p + 2 h_c
GLYCK,atp_c + glyc__R_c --> 3pg_c + h_c + adp_c
G3PAT180,ocdcaACP_c + glyc3p_c --> 1odecg3p_c + ACP_c
G3PAT181,glyc3p_c + octeACP_c --> ACP_c + 1odec11eg3p_c
LPLIPAL2G120,h2o_c + 2agpg120_c --> h_c + ddca_c + g3pg_c
GLYCL,gly_c + thf_c + nad_c --> nadh_c + nh4_c + co2_c + mlthf_c
HISTD,h2o_c + histd_c + 2 nad_c --> his__L_c + 2 nadh_c + 3 h_c
MLDCP1App,h2o_p + murein5px4p_p --> murein3px4p_p + alaala_p
ASP1DC,asp__L_c + h_c --> co2_c + ala__B_c
3PEPTtex,LalaDgluMdap_e <=> LalaDgluMdap_p
CGLYabcpp,h2o_c + atp_c + cgly_p --> h_c + cgly_c + pi_c + adp_c
FE3HOXUtex,h_p + fe3hox__un_c --> fe3hox__un_p + h_c
I2FE2SR,iscssh_c + iscu_c + 2fe1s_c --> iscu__2fe2s_c + 4 h_c + iscs_c
I2FE2SS,2 iscssh_c + fadh2_c + iscu_c + 2 fe2_c --> iscu__2fe2s_c + fad_c + 6 h_c + 2 iscs_c
XYLI2,glc__D_c <=> fru_c
THRTRS,atp_c + trnathr_c + thr__L_c --> thrtrna_c + amp_c + ppi_c
I2FE2ST,4 h_c + iscu__2fe2s_c --> iscu_c + 2fe2s_c
CRNDCAL2,coa_c + atp_c + crn__D_c --> crnDcoa_c + pi_c + adp_c
LPLIPAL1E181pp,h2o_p + 1agpe181_p --> h_p + g3pe_p + ocdcea_p
COLIPAabcpp,h2o_c + atp_c + colipa_c --> h_c + colipa_p + adp_c + pi_c
EX_23cgmp_e,23cgmp_e --> 
OMMBLHX3,nad_c + 2 atp_c + 2ommbl_c + 3 h2o_c --> nadh_c + 2omhmbl_c + 2 pi_c + 2 adp_c + 3 h_c
PPALtex,ppal_e <=> ppal_p
SUCCtex,succ_e <=> succ_p
VALtex,val__L_e <=> val__L_p
ACBIPGT,h_c + gtp_c + adocbip_c --> ppi_c + agdpcbi_c
DSBGGT,dsbgox_p + 2 gthrd_p --> dsbgrd_p + gthox_p
ALATA_L2,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
PPPGO,pppg9_c + 1.5 o2_c --> ppp9_c + 3 h2o_c
EX_2ddglcn_e,2ddglcn_e --> 
LIPOtex,lipoate_e <=> lipoate_p
FEOXAMabcpp,h2o_c + atp_c + feoxam_p --> h_c + feoxam_c + pi_c + adp_c
DHORDfum,dhor__S_c + fum_c --> succ_c + orot_c
EX_slnt_e,slnt_e <=> 
EX_mso3_e,mso3_e --> 
AKGtex,akg_e <=> akg_p
PTHRpp,h2o_p + thrp_p --> pi_p + thr__L_p
CLt3_2pp,2 cl_p + h_c --> h_p + 2 cl_c
HEPT2,adphep__LD_c + hlipa_c --> h_c + hhlipa_c + adp_c
NTD12pp,dimp_p + h2o_p --> din_p + pi_p
METtex,met__L_e <=> met__L_p
PRASCSi,asp__L_c + atp_c + 5aizc_c --> 25aics_c + h_c + pi_c + adp_c
SUCASPtpp,succ_c + asp__L_p --> succ_p + asp__L_c
RPE,ru5p__D_c <=> xu5p__D_c
PLIPA1E141pp,pe141_p + h2o_p --> h_p + ttdcea_p + 2agpe141_p
BETALDHx,nad_c + betald_c + h2o_c --> glyb_c + nadh_c + 2 h_c
BETALDHy,h2o_c + betald_c + nadp_c --> glyb_c + 2 h_c + nadph_c
RPI,r5p_c <=> ru5p__D_c
EX_fuc__L_e,fuc__L_e --> 
PLIPA2G180pp,pg180_p + h2o_p --> ocdca_p + h_p + 1agpg180_p
CYStpp,cys__L_c --> cys__L_p
TARTt2_3pp,3 h_p + tartr__D_p --> tartr__D_c + 3 h_c
G3PD2,glyc3p_c + nadp_c <=> nadph_c + dhap_c + h_c
CO2tpp,co2_p <=> co2_c
G3PD7,2dmmq8_c + glyc3p_c --> dhap_c + 2dmmql8_c
G3PD6,glyc3p_c + mqn8_c --> dhap_c + mql8_c
G3PD5,q8_c + glyc3p_c --> q8h2_c + dhap_c
LCADi,lald__L_c + nad_c + h2o_c --> nadh_c + 2 h_c + lac__L_c
CRNt8pp,crn_p + crn__D_c --> crn__D_p + crn_c
EX_amp_e,amp_e --> 
ASCBtex,ascb__L_e <=> ascb__L_p
RMPA,rml1p_c <=> dhap_c + lald__L_c
GLXCL,h_c + 2 glx_c --> 2h3oppan_c + co2_c
MCITS,h2o_c + ppcoa_c + oaa_c --> h_c + 2mcit_c + coa_c
TMDS,mlthf_c + dump_c --> dtmp_c + dhf_c
PYDXNK,pydxn_c + atp_c --> adp_c + pdx5p_c + h_c
MOAT3C,ckdo_c + phphhlipa_c --> kphphhlipa_c + h_c + cmp_c
G3PAT160,glyc3p_c + palmACP_c --> ACP_c + 1hdecg3p_c
G3PAT161,glyc3p_c + hdeACP_c --> ACP_c + 1hdec9eg3p_c
LYXI,lyx__L_c --> xylu__L_c
CU1Opp,4 cu_p + 4 h_p + o2_p --> 4 cu2_p + 2 h2o_p
12PPDStpp,12ppd__S_p <=> 12ppd__S_c
CLPNH180pp,clpn180_p + h2o_p --> pa180_p + h_p + pg180_p
EX_fecrm_e,fecrm_e --> 
PG140abcpp,h2o_c + atp_c + pg140_c --> h_c + pg140_p + pi_c + adp_c
GLYt2rpp,h_p + gly_p <=> gly_c + h_c
NAMNPP,prpp_c + nac_c + atp_c + h2o_c --> adp_c + pi_c + nicrnt_c + ppi_c
BWCOGDS2,bwco1gdp_c + gtp_c + h_c --> bwcogdp_c + ppi_c
BWCOGDS1,gtp_c + h_c + bwco_c --> ppi_c + bwco1gdp_c
SBTtex,sbt__D_e <=> sbt__D_p
NTPP11,xtp_c + h2o_c --> ppi_c + h_c + xmp_c
TCYNTtex,tcynt_e <=> tcynt_p
ACOTA,akg_c + acorn_c <=> glu__L_c + acg5sa_c
DAAD,ala__D_c + h2o_c + fad_c --> nh4_c + fadh2_c + pyr_c
FALGTHLs,fald_c + gthrd_c <=> hmgth_c
INSt2pp,ins_p + h_p --> ins_c + h_c
ALCD2x,nad_c + etoh_c <=> nadh_c + acald_c + h_c
HSTPT,glu__L_c + imacp_c --> hisp_c + akg_c
FECRMexs,fe3_e + fecrm__un_e --> fecrm_e
ACANTHAT,accoa_c + anth_c --> acanth_c + coa_c
XPPT,xan_c + prpp_c --> ppi_c + xmp_c
ATPPRT,atp_c + prpp_c --> prbatp_c + ppi_c
EX_ttdca_e,ttdca_e --> 
EX_udpglcur_e,udpglcur_e --> 
GLNabcpp,h2o_c + atp_c + gln__L_p --> gln__L_c + h_c + pi_c + adp_c
EX_LalaDglu_e,LalaDglu_e --> 
PE140abcpp,h2o_c + pe140_c + atp_c --> h_c + pi_c + pe140_p + adp_c
HISTP,h2o_c + hisp_c --> pi_c + histd_c
GALURt2rpp,galur_p + h_p <=> h_c + galur_c
EX_cgly_e,cgly_e --> 
3CMPtex,3cmp_e <=> 3cmp_p
DHQS,2dda7p_c --> pi_c + 3dhq_c
ACGS,accoa_c + glu__L_c --> coa_c + h_c + acglu_c
PGP141abcpp,pgp141_c + atp_c + h2o_c --> h_c + pgp141_p + pi_c + adp_c
PROt4pp,na1_p + pro__L_p --> na1_c + pro__L_c
DADNtex,dad__2_e <=> dad__2_p
DM_AMOB,amob_c --> 
GLYC2Ptex,glyc2p_e <=> glyc2p_p
SSALx,h2o_c + sucsal_c + nad_c --> nadh_c + 2 h_c + succ_c
MEOHtex,meoh_e <=> meoh_p
OXCOAHDH,nadp_c + 2oxpaccoa_c + 2 h2o_c --> 3oxdhscoa_c + 2 h_c + nadph_c
ACGK,acglu_c + atp_c --> acg5p_c + adp_c
SSALy,h2o_c + sucsal_c + nadp_c --> 2 h_c + nadph_c + succ_c
TGBPA,tagdp__D_c <=> dhap_c + g3p_c
ENTERES2,feenter_c + 3 h2o_c --> fe3_c + 3 23dhbzs_c + 3 h_c
GPDDA4pp,h2o_p + g3pg_p --> glyc3p_p + glyc_p + h_p
PYDXNtpp,pydxn_p --> pydxn_c
GK1,atp_c + gmp_c <=> adp_c + gdp_c
