,aerobic,anaerobic
b0388,424.6203333333333,699.5556666666666
b0389,505.9883333333334,694.648
b0390,124.80933333333333,76.88126666666666
b0391,536.5659999999999,514.1036666666666
b0392,50.76746666666667,91.4844
b0393,164.197,144.44766666666666
b0394,47.5995,60.74316666666666
b0396,23.636833333333332,31.919333333333338
b0397,40.384299999999996,34.5438
b0398,43.76066666666667,63.675599999999996
b0399,37.703833333333336,43.597033333333336
b0400,22.01806666666667,28.496666666666666
b0401,96.18853333333334,513.4933333333333
b0402,65.40306666666667,130.02133333333333
b0403,29.644966666666665,36.362199999999994
b0404,38.904900000000005,22.797299999999996
b0405,89.11950000000002,79.47529999999999
b0406,387.30266666666665,255.86033333333333
b0407,1719.2966666666664,1923.743333333333
b0408,519.3776666666666,533.0063333333333
b0409,376.604,521.659
b0410,196.16533333333334,330.11400000000003
b0411,1087.0066666666667,575.0906666666666
b0412,27.302433333333337,21.462199999999996
b0413,253.42866666666666,236.27866666666668
b0414,164.76500000000001,191.29833333333332
b0415,495.15200000000004,399.041
b0416,730.6513333333332,718.3453333333333
b0417,101.57709999999999,113.89266666666667
b0418,228.97366666666667,398.4843333333333
b0419,204.524,108.60966666666667
b0420,197.856,188.64833333333334
b0421,223.86233333333334,222.43466666666666
b0422,391.12899999999996,567.1153333333333
b0423,148.11266666666666,123.681
b0424,115.97766666666666,163.35766666666666
b0425,116.81933333333332,135.98483333333334
b0426,994.203,1061.129
b0427,38.49393333333333,31.11133333333333
b0428,833.7293333333333,30.434033333333332
b0429,1355.1299999999999,16.349766666666667
b0430,1244.5566666666666,14.173899999999998
b0431,1979.03,27.840733333333333
b0432,2895.09,35.51173333333333
b0433,95.76603333333334,84.18446666666667
b0434,387.34700000000004,301.41799999999995
b0435,953.17,311.10166666666663
b0436,2604.28,1734.7366666666667
b0437,1127.6466666666668,1066.1913333333334
b0438,1198.6933333333334,859.6813333333333
b0439,460.2803333333333,508.91900000000004
b0440,3101.9799999999996,4236.22
b0441,370.16266666666667,446.763
b0442,15.760866666666665,9.717666666666666
b0443,23.91033333333333,25.954343333333338
b0444,109.84116666666667,115.72466666666666
b0445,8.796986666666667,17.754666666666665
b0446,56.82116666666667,79.83106666666667
b0447,53.5377,42.09703333333333
b0448,26.41156666666667,26.92956666666667
b0449,21.14573333333333,27.767299999999995
