APH141,0
APH160,0
APH161,0
APH180,0
APH181,0
APRAUR,0.00023095
ARBTNR1,0
ARBTNR2,0
ARBTNR3,0
ARBTNabcpp,0
ARBTNexs,0
ARBTNtex,0
ARBTNtonex,0
ARBTNtpp,0
ARBabcpp,0
ARBt2rpp_f,0
ARBt2rpp_b,0
ARBt3ipp,0
ARGAGMt7pp_f,0
ARGAGMt7pp_b,0
ARGDC,0
ARGDCpp,0
ARGORNt7pp_f,0
ARGORNt7pp_b,0
ARGSL_f,0.15317
ARGSL_b,0
ARGSS,0.15317
ARGabcpp,0
ARGt3pp,0
ARGtex_f,0
ARGtex_b,0
ASAD_f,0
ASAD_b,0.55359
ASNN,0
ASNNpp,0
ASNS1,0
ASNS2,0.12482
ASNabcpp,0
ASNt2rpp_f,0
ASNt2rpp_b,0
ASNtex_f,0
ASNtex_b,0
ASP1DC,0.00029826
ASPCT,0.17129
ASPK_f,0.55359
ASPK_b,0
ASPO4,0
ASPO5,0
ASPO6,0.0011796
ASPT,0
ASPTA_f,0
ASPTA_b,1.516
ASPabcpp,0
ASPt2_2pp,0
ASPt2_3pp,0
ASPt2pp,0
ASPt2rpp_f,0
ASPt2rpp_b,0
ASPtex_f,0
ASPtex_b,0
AST,0
ATHRDHr_f,0
ATHRDHr_b,0
ATPHs,0
ATPM,3.15
ATPPRT,0.049057
ATPS4rpp_f,0
ATPS4rpp_b,13.212
BMOCOS,6.3174e-05
BMOGDS1,6.3174e-05
BMOGDS2,6.3174e-05
BPNT,0.12835
BTS5,1.0356e-06
CA2t3pp,0
CA2tex_f,0.0026952
CA2tex_b,0
CADVtpp,0
CAt6pp_f,0
CAt6pp_b,0.0026952
CBL1abcpp,0
CBL1tonex,0
CBLAT_f,0
CBLAT_b,0
CBMKr_f,0.32446
CBMKr_b,0
CBPS,0
CD2abcpp,0
CD2t3pp,0
CD2tpp,0
CDAPPA120,0
CDAPPA140,0
CDAPPA141,0
CDAPPA160,0
CDAPPA161,0
CDAPPA180,0
CDAPPA181,0
CDPMEK,0.0012371
CGLYabcpp,0
CGLYtex_f,0
CGLYtex_b,0
CHORM,0.16745
CHORS,0.19735
CHRPL,0.00011547
CITL,0
CITt3pp,3.6809e-27
CITt7pp,0
CITtex_f,0
CITtex_b,3.6812e-27
CLIPAabctex,0
CLPNH120pp,0
CLPNH140pp,0
CLPNH141pp,0
CLPNH160pp,0
CLPNH161pp,0
CLPNH180pp,0
CLPNH181pp,0
CLPNS120pp_f,0
CLPNS120pp_b,0
CLPNS140pp_f,0
CLPNS140pp_b,0
CLPNS141pp_f,0
CLPNS141pp_b,0
CLPNS160pp_f,0
CLPNS160pp_b,0
CLPNS161pp_f,0
CLPNS161pp_b,0
CLPNS180pp_f,0
CLPNS180pp_b,0
CLPNS181pp_f,0
CLPNS181pp_b,0
CLt3_2pp,0.0013476
CLtex_f,0.0026952
CLtex_b,0
CMPN,0
CMtex_f,0
CMtex_b,0
CMtpp,0
CO2tex_f,0.18918
CO2tex_b,0
CO2tpp_f,0.18918
CO2tpp_b,0
COBALT2abcpp,0
COBALT2t3pp,0
COBALT2tex_f,1.2945e-05
COBALT2tex_b,0
COBALT2tpp,1.2945e-05
COLIPAKpp,0
COLIPAPabctex,0
COLIPAabcpp,0
COLIPAabctex,0
CPGNR1,0
CPGNR2,0
CPGNR3,0
CPGNUtex,0
CPGNUtpp,0
CPGNabcpp,0
CPGNexs,0
CPGNtonex,0
CPMPS,0.00012635
CPPPGO2,0.00011547
CRNDabcpp,0
CRNDt2rpp_f,0
CRNDt2rpp_b,0
CRNabcpp,0
CRNt2rpp_f,0
CRNt2rpp_b,0
CRNt8pp,0
CS,0.55675
CSND,0
CTBTabcpp,0
CTBTt2rpp_f,0
CTBTt2rpp_b,0
CTECOAI6_f,0
CTECOAI6_b,0
CTECOAI7_f,0
CTECOAI7_b,0.077894
CTECOAI8_f,0
CTECOAI8_b,0
CTPS2,0.083123
CU2abcpp,0
CU2tex_f,0.00036713
CU2tex_b,0
CU2tpp,0.00036713
CYSDS,0
CYSS,0.12835
CYSTL,0.079698
CYSabc2pp,0
CYSabcpp,0
CYStex_f,0
CYStex_b,0
CYStpp,0
CYTD,0
CYTDH,0
CYTDK2,0
CYTDt2pp,0
CYTDt2rpp_f,0
CYTDt2rpp_b,0
CYTDtex_f,0
CYTDtex_b,0
CYTK1_f,0.093676
CYTK1_b,0
CYTK2_f,0
CYTK2_b,0
D-LACt2pp_f,0
D-LACt2pp_b,-6.3252e-26
D-LACtex_f,0
D-LACtex_b,-6.3321e-26
DAAD,0
DADA,0
DADK_f,0
DADK_b,-8.7243e-27
DAGK120,0
DAGK140,0
DAGK141,0
DAGK160,0
DAGK161,0
DAGK180,0
DAGK181,0
DALAt2pp,0.0071946
DALAtex_f,0
DALAtex_b,0
DAPDC,0.1777
DAPE_f,0.19208
DAPE_b,0
DAPtex_f,0
DAPtex_b,0
DASYN120,0
DASYN140,0
DASYN141,0
DASYN160,0.033044
DASYN161,0.038947
DASYN180,0
DASYN181,0
DATPHs,0
DB4PS,0.00046189
DBTS,1.0356e-06
DCTPD,0
DCYTD,0
DDPA,0.19735
DGK1_f,-9.167e-27
DGK1_b,0
DHAD1,0.45271
DHAD2,0.15044
DHAPT,15.7582
DHAtex_f,0
DHAtex_b,0
DHAtpp_f,0
DHAtpp_b,0
DHBD_f,0
DHBD_b,0
DHBS,0
DHBSH,0
DHDPRy,0.19208
DHDPS,0.19208
DHFR_f,0.013896
DHFR_b,0
DHFS,0.00034642
DHNAOT4,0
DHNCOAS,0
DHNCOAT,0
DHNPA2r_f,0.00034642
DHNPA2r_b,0
DHORD5,0
DHORDfum,0.17129
DHORTS_f,0
DHORTS_b,0.17129
DHPPDA2,0.00023095
DHPS2,0.00034642
DHPTDCs2,0.00023198
DHQS,0.19735
DHQTi,0.19735
DMATT,0.00014395
DMPPS,0.00014395
DMQMT,0
DNMPPA,0.00034642
DNTPPA,0.00034642
DOXRBCNtex_f,0
DOXRBCNtex_b,0
DOXRBCNtpp,0
DPCOAK,0.00029826
DPR,0.00029826
DRPA,0
DSERDHr_f,0
DSERDHr_b,0
DTMPK_f,0.013549
DTMPK_b,0
DURIK1,0
DURIPP_f,2.078e-28
